timestamp,close,volume,log_returns,volatility_30_period
1640998800000,46778.14,943.81539,,
1641002400000,46811.77,485.1686,0.0007186672462329537,
1641006000000,46813.2,562.88971,3.054740631936883e-05,
1641009600000,46711.05,861.88389,-0.0021844610487768575,
1641013200000,47192.55,1400.73642,0.01025528776268548,
1641016800000,46979.62,613.97776,-0.004522150500839829,
1641020400000,47194.73,646.20081,0.004568343165791847,
1641024000000,47124.82,532.44767,-0.0014824076832949272,
1641027600000,47143.98,541.32491,0.0004064971711495851,
1641031200000,46871.08,923.0176,-0.005805469176378907,
1641034800000,46758.87,732.88793,-0.0023968837689439053,
1641038400000,47074.05,582.15009,0.006717923418594771,
1641042000000,47023.24,454.14412,-0.0010799461905490406,
1641045600000,46926.22,503.6622,-0.0020653665170293303,
1641049200000,47219.04,1515.95305,0.006220620013138228,
1641052800000,47268.62,1049.57919,0.0010494493048168083,
1641056400000,47754.48,1320.66577,0.010226234128229327,
1641060000000,47560.55,860.76025,-0.004069248419764534,
1641063600000,47329.78,830.6716,-0.004863940402805422,
1641067200000,47391.82,717.20792,0.0013099442760992252,
1641070800000,47319.67,809.21927,-0.0015235746783562975,
1641074400000,47440.74,466.47861,0.0025552879283061883,
1641078000000,47722.65,746.28954,0.005924774740700417,
1641081600000,47625.3,1082.50817,-0.0020419953198165613,
1641085200000,47377.97,465.7536,-0.005206779909174083,
1641088800000,47370.5,452.39245,-0.0001576806467794266,
1641092400000,47329.47,387.25302,-0.0008665261998993408,
1641096000000,46910.3,1259.6882,-0.008895878338954603,
1641099600000,47081.28,686.20377,0.00363820224318467,
1641103200000,47122.61,528.20197,0.0008774585136936683,
1641106800000,47173.45,544.37433,0.0010783060273389464,0.02488070869204727
1641110400000,47222.4,578.28603,0.0010371219579598692,0.024888546950768455
1641114000000,47273.24,792.44368,0.0010760285851361948,0.024899179875071162
1641117600000,47188.89,390.08901,-0.0017859013430911546,0.024860770083137453
1641121200000,47235.5,359.02993,0.0009872450070519429,0.022667422478398973
1641124800000,47292.95,798.05773,0.0012155072271538537,0.022196627521644682
1641128400000,47137.35,580.44121,-0.0032955553636249313,0.021995652311604757
