timestamp,open,high,low,close,volume,log_returns,volatility_30_period,RSI14,SMA50
2025-01-06 17:00:00,102158.67,102158.68,101250.0,101831.95,1517.05213,-0.0032032872822693667,0.00399019324111936,76.27462558578608,98675.8488
2025-01-06 18:00:00,101831.95,102053.61,101578.12,101738.8,834.3056,-0.0009151610091453735,0.0040125558224887396,72.80797708674966,98756.53280000002
2025-01-06 19:00:00,101738.81,102032.0,101639.6,101817.22,631.18014,0.0007705004635052188,0.003993698907388498,72.50171511616108,98832.552
2025-01-06 20:00:00,101817.22,102318.5,101800.0,102127.38,1458.54383,0.0030416126645963796,0.0040049355529280005,75.39419127428792,98915.86839999999
2025-01-06 21:00:00,102126.9,102329.98,101600.05,101611.92,1010.1979,-0.005060006584935148,0.004175102390816094,70.95757708687466,98984.7816
2025-01-06 22:00:00,101611.92,102084.13,101600.06,102011.98,365.15756,0.003929406270595128,0.004198514655361322,76.52355721548606,99053.0408
2025-01-06 23:00:00,102011.98,102239.58,101896.87,102235.6,435.86784,0.0021896963415728343,0.00411626833123927,78.00874989395894,99130.5042
2025-01-07 00:00:00,102235.6,102724.38,101950.0,102042.46,980.37078,-0.0018909525335311388,0.004161480137274842,78.53753934859972,99203.00839999999
2025-01-07 01:00:00,102042.47,102071.9,101684.95,101915.66,558.30589,-0.001243392676264475,0.004188358552357738,74.71793296661347,99276.9116
2025-01-07 02:00:00,101915.66,102018.98,101651.67,101677.66,392.40922,-0.0023379952585221527,0.004237221264425763,72.8845413540388,99346.1962
2025-01-07 03:00:00,101677.66,101818.19,101512.91,101708.08,426.32949,0.000299136018354406,0.004234532607700639,71.29491687026996,99417.88720000001
2025-01-07 04:00:00,101708.09,101925.77,101667.01,101667.02,289.09956,-0.0004037859163474442,0.00423893281666437,61.62879971990551,99486.67799999999
2025-01-07 05:00:00,101667.02,101786.07,101582.79,101743.47,341.58829,0.0007516820160030689,0.004158989376899302,42.40892131913018,99557.78820000001
2025-01-07 06:00:00,101743.47,101894.47,101648.56,101820.53,336.00222,0.0007571083657324233,0.004130401653926409,43.8081391090342,99627.04959999998
2025-01-07 07:00:00,101820.53,102015.01,101640.47,101664.81,526.07792,-0.0015305282473721186,0.004076979556233318,46.73493467525163,99693.1662
2025-01-07 08:00:00,101664.81,101995.64,101618.04,101905.08,455.62174,0.002360566305467213,0.00408406191386716,53.07170513995208,99762.2384
2025-01-07 09:00:00,101905.08,101914.11,101632.06,101723.19,490.40273,-0.0017864911230246082,0.0041088192359014395,48.326933821096,99831.3268
2025-01-07 10:00:00,101723.18,101723.19,101379.45,101406.78,716.36897,-0.003115347832787939,0.004119217567873369,37.206891164481775,99902.24160000001
2025-01-07 11:00:00,101406.78,101453.0,100472.45,100830.86,1572.48188,-0.0056954932507893175,0.004275499200261184,36.424941428382795,99965.81480000001
2025-01-07 12:00:00,100830.86,100956.99,100628.43,100750.89,725.09465,-0.0007934250416543187,0.004274609077745561,25.337833873737324,100026.08300000001
